time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,us_aqi
2022-08-06T00:00,86.4,59.6,2370,132,39.2,30,0,150
2022-08-06T01:00,95.7,66.1,2526,135.6,40.9,30,0,148
2022-08-06T02:00,99.9,69.2,2523,131.6,43.1,31,0,146
2022-08-06T03:00,98,68.2,2453,123.7,45.6,31,0,144
2022-08-06T04:00,96.9,67.1,2389,113.7,48.5,34,0,143
2022-08-06T05:00,99.2,68.7,2442,109.8,49.7,34,0,142
2022-08-06T06:00,104.8,72.6,2533,106.9,50.3,34,0,143
2022-08-06T07:00,133.6,92.4,2963,130.5,50,56,0.3,144
2022-08-06T08:00,154.1,106.9,2789,116.4,55,91,1.25,145
2022-08-06T09:00,127.1,87.3,2539,96.3,62,142,2.95,146
2022-08-06T10:00,110.6,75.7,2216,70.4,67.1,214,4.95,146
2022-08-06T11:00,104.8,71.5,2014,53.7,63.8,272,5.95,148
2022-08-06T12:00,110.8,75.7,1823,37.8,56.8,334,6,157
2022-08-06T13:00,110.8,75.4,1632,24.3,48.5,393,4.9,194
2022-08-06T14:00,109.7,74.7,1527,19.9,45.7,411,3.2,202
2022-08-06T15:00,106.4,72.2,1457,20.2,44.1,413,1.7,203
2022-08-06T16:00,103.4,69.8,1527,37.5,41.5,380,0.65,186
2022-08-06T17:00,108.7,73.6,1786,73.9,37.3,312,0.1,154
2022-08-06T18:00,121.1,82,2171,124,32.4,216,0,155
2022-08-06T19:00,111.5,76.1,2252,130.2,33.2,156,0,157
2022-08-06T20:00,103.1,70.3,2360,134,35.4,145,0,158
2022-08-06T21:00,100.4,68.5,2514,139.3,38.5,129,0,158
2022-08-06T22:00,107.6,73.3,2672,143.9,42.5,112,0,159
2022-08-06T23:00,116.4,79.2,2703,143.1,44.8,106,0,160
2022-08-07T00:00,131.3,89.4,2692,140.1,46.8,104,0,160
2022-08-07T01:00,152.7,104.1,2672,135.9,49.2,100,0,161
2022-08-07T02:00,160.7,109.7,2642,132.4,51,95,0,162
2022-08-07T03:00,167.6,114.8,2603,128.4,52.7,89,0,163
2022-08-07T04:00,171.8,117.8,2681,127.7,52.7,83,0,164
2022-08-07T05:00,175.6,121.1,3005,136.9,49,79,0,165
2022-08-07T06:00,173.7,119.2,3456,150.6,43.3,75,0,166
2022-08-07T07:00,182.5,125.7,3164,130.8,52.3,93,0.3,167
2022-08-07T08:00,181.1,123.9,2875,114.4,51,122,1.4,168
2022-08-07T09:00,138.3,93.8,2461,90.9,49.1,164,3.4,168
2022-08-07T10:00,131.8,89.4,1956,61.8,45.5,220,5.45,168
2022-08-07T11:00,126.2,85.9,1693,45.3,41.2,261,6.8,168
